timestamp,task_id,bt_node,from_state,to_state,status,message
2026-06-25 21:23:44,task_left_001,InitTask,START,INIT,ENTER,enter INIT
2026-06-25 21:23:44,task_left_001,PerceiveObject,INIT,PERCEIVE,ENTER,enter PERCEIVE
2026-06-25 21:23:44,task_left_001,SelectArm,PERCEIVE,SELECT_ARM,ENTER,enter SELECT_ARM
2026-06-25 21:23:44,task_left_001,SafetyCheck,SELECT_ARM,SAFETY_CHECK,ENTER,enter SAFETY_CHECK
2026-06-25 21:23:44,task_left_001,PlanPath,SAFETY_CHECK,PLAN_PATH,ENTER,enter PLAN_PATH
2026-06-25 21:23:44,task_left_001,PathSafe,PLAN_PATH,PLAN_PATH,CHECK,check PLAN_PATH
2026-06-25 21:23:44,task_left_001,ParkInactiveArm,PLAN_PATH,PARK_INACTIVE_ARM,ENTER,enter PARK_INACTIVE_ARM
2026-06-25 21:23:45,task_left_001,PickAndPlaceWithRecovery,PARK_INACTIVE_ARM,EXECUTE_PICK_PLACE,ENTER,enter EXECUTE_PICK_PLACE
2026-06-25 21:25:23,task_left_001,VerifySuccess,EXECUTE_PICK_PLACE,VERIFY,CHECK,check VERIFY
2026-06-25 21:25:23,task_left_001,VerifySuccess,VERIFY,DONE,DONE,hybrid task done
2026-06-25 21:25:30,task_right_001,InitTask,START,INIT,ENTER,enter INIT
2026-06-25 21:25:30,task_right_001,PerceiveObject,INIT,PERCEIVE,ENTER,enter PERCEIVE
2026-06-25 21:25:30,task_right_001,SelectArm,PERCEIVE,SELECT_ARM,ENTER,enter SELECT_ARM
2026-06-25 21:25:30,task_right_001,SafetyCheck,SELECT_ARM,SAFETY_CHECK,ENTER,enter SAFETY_CHECK
2026-06-25 21:25:30,task_right_001,PlanPath,SAFETY_CHECK,PLAN_PATH,ENTER,enter PLAN_PATH
2026-06-25 21:25:30,task_right_001,PathSafe,PLAN_PATH,PLAN_PATH,CHECK,check PLAN_PATH
2026-06-25 21:25:30,task_right_001,ParkInactiveArm,PLAN_PATH,PARK_INACTIVE_ARM,ENTER,enter PARK_INACTIVE_ARM
2026-06-25 21:25:32,task_right_001,PickAndPlaceWithRecovery,PARK_INACTIVE_ARM,EXECUTE_PICK_PLACE,ENTER,enter EXECUTE_PICK_PLACE
2026-06-25 21:27:22,task_right_001,VerifySuccess,EXECUTE_PICK_PLACE,VERIFY,CHECK,check VERIFY
2026-06-25 21:27:22,task_right_001,VerifySuccess,VERIFY,DONE,DONE,hybrid task done
